,user_id,total_interactions,total_suggestion_interactions,rate_of_ai_suggestion,first_interaction_time,last_interaction_time,first_suggestion_interaction_time,norm_first_suggestion_interaction_time,num_valid_board_checkpoints,total_board_checkpoints,board_valid_rate,first_valid_board_checkpoints_interaction_time,norm_first_valid_board_checkpoints_interaction_time,max_solution_length
0,1004911408.1596462719,2,0,0.0,1596462726147229,1596462726147229,,-1.0,0,2,0.0,,-1.0,0
0,1010075655.1596500349,9,0,0.0,1596500358927949,1596500371769915,,-1.0,0,27,0.0,,-1.0,0
0,1077578486.1596433276,2,0,0.0,1596433281682939,1596433281682939,,-1.0,0,2,0.0,,-1.0,0
0,1084056299.1596436254,36,2,0.05555555555555555,1596436259703755,1596436308804264,1596436285215744,0.5195870576412965,0,648,0.0,,-1.0,0
0,1120019585.1596437267,16,3,0.1875,1596437276457333,1596437300448376,1596437300448376,1.0,32,64,0.5,1596437300448376,1.0,11
0,1149737756.1596043521,49,0,0.0,1596043526910883,1596043708407957,,-1.0,0,686,0.0,,-1.0,0
0,1178513102.1595896751,160,41,0.25625,1596241784669842,1596586468737455,1596243522046307,0.005040489620050177,1920,9600,0.2,1596243530430921,0.005064815125020758,31
0,1233118574.1596426303,2,0,0.0,1596426307715411,1596426307715411,,-1.0,0,2,0.0,,-1.0,0
0,1299520380.1596426784,30,11,0.36666666666666664,1596426789882274,1596426948599910,1596426910113751,0.7575180681244521,30,330,0.09090909090909091,1596426922526825,0.8357266044461499,17
0,1353504925.1596409161,2,0,0.0,1596409168255142,1596409168255142,,-1.0,0,2,0.0,,-1.0,0
0,1357295541.1596077264,22,2,0.09090909090909091,1596077270175763,1596077286938391,1596077286938391,1.0,0,264,0.0,,-1.0,0
0,1367259751.1596485814,4,0,0.0,1596485786689206,1596485786689206,,-1.0,0,0,0.0,,-1.0,0
0,1371246741.1596584431,591,92,0.155668358714044,1596584436816946,1596587616685558,1596584449155581,0.0038802342189350808,10638,89241,0.11920529801324503,1596584455338956,0.005824772108540188,19
0,137957650.1596596341,140,26,0.18571428571428572,1596596347404598,1596597128398983,1596596357798459,0.013308496449689584,700,3360,0.20833333333333334,1596596357798459,0.013308496449689584,13
0,1397870444.1596497072,32,1,0.03125,1596497076605070,1596497268653418,1596497262516841,0.9680467076967515,0,384,0.0,,-1.0,0
0,1475981336.1596448604,31,6,0.1935483870967742,1596448611619663,1596448668527453,1596448649682245,0.6688466025477355,0,372,0.0,,-1.0,0
0,1484620079.1596495859,80,4,0.05,1596495864787514,1596496234860827,1596496182712302,0.8590859617051068,0,1840,0.0,,-1.0,0
0,1517589819.1596434033,59,0,0.0,1596434042111307,1596434122485953,,-1.0,59,767,0.07692307692307693,1596434066184899,0.2995172383092051,10
0,1590575141.1596436240,2,0,0.0,1596436246384711,1596436246384711,,-1.0,0,2,0.0,,-1.0,0
0,1734052381.1596429223,2,0,0.0,1596429230370103,1596429230370103,,-1.0,0,2,0.0,,-1.0,0
0,1742650310.1596425034,16,4,0.25,1596425042201993,1596425089976588,1596425084422677,0.8837476068609268,16,80,0.2,1596425089976588,1.0,12
0,1818652418.1595894372,2,0,0.0,1596402092675620,1596402092675620,,-1.0,0,2,0.0,,-1.0,0
0,1868153729.1596464321,2,0,0.0,1596464333235032,1596464333235032,,-1.0,0,2,0.0,,-1.0,0
0,1885967541.1596413787,2,0,0.0,1596413792567606,1596413792567606,,-1.0,0,2,0.0,,-1.0,0
0,191958985.1596185982,106,1,0.009433962264150943,1596186019948849,1596204159285673,1596204104023447,0.9969534594050383,530,2756,0.19230769230769232,1596186275380576,0.014081646395255228,17
0,1991034092.1596403164,23,9,0.391304347826087,1596403169580866,1596403299510069,1596403238894978,0.5334760038511127,0,368,0.0,,-1.0,0
0,2086780983.1595904176,2,0,0.0,1596043519881385,1596043519881385,,-1.0,0,2,0.0,,-1.0,0
0,2091143643.1596493374,2,0,0.0,1596493381251093,1596493381251093,,-1.0,0,2,0.0,,-1.0,0
0,2109531637.1596480701,5,0,0.0,1596480706382720,1596480714266124,,-1.0,0,5,0.0,,-1.0,0
0,391320080.1596407172,4,0,0.0,1596407181202832,1596474083505528,,-1.0,0,8,0.0,,-1.0,0
0,397456033.1596468602,8,0,0.0,1596468605561920,1596468627175130,,-1.0,8,24,0.3333333333333333,1596468627175130,1.0,3
0,640654159.1596426843,141,6,0.0425531914893617,1596426850882159,1596427106622568,1596426929511844,0.30745897884287815,0,2820,0.0,,-1.0,0
0,713311713.1596437520,15,1,0.06666666666666667,1596437527917120,1596437855354911,1596437542513467,0.044577466013994704,30,90,0.3333333333333333,1596437549057812,0.06456399530254588,9
0,748243329.1596375599,20,0,0.0,1596375645479147,1596375647182865,,-1.0,0,180,0.0,,-1.0,0
0,773017984.1596364461,32,3,0.09375,1596364468217326,1596364560480071,1596364495344437,0.29402020284568814,128,256,0.5,1596364477605691,0.10175683587129344,13
0,846848609.1596522121,4,0,0.0,1596522126025566,1596522539323465,,-1.0,0,8,0.0,,-1.0,0
0,890902572.1596584093,11,1,0.09090909090909091,1596584097736607,1596584128664089,1596584108699012,0.3544551412235888,0,44,0.0,,-1.0,0
0,895096090.1596461518,2,0,0.0,1596461523253004,1596461523253004,,-1.0,0,2,0.0,,-1.0,0
0,912346600.1596493309,2,0,0.0,1596493314726055,1596493314726055,,-1.0,0,2,0.0,,-1.0,0
